Katsesõna	Tähendus
akuraat	(pedantselt) korralik või korras, nõudeid järgiv või nõuetele täpselt vastav
akuraatne	(pedantselt) korralik või korras, nõudeid järgiv või nõuetele täpselt vastav
alko	"joogid, mis sisaldavad alkoholi, näiteks viin, õlu ja vein	 joovastava toimega jook (nt vein, õlu, viin), mille kangus tuleneb joogis sisalduvast etanooli hulgast"
alla jätma	hinda alandama, odavamalt müüma kui esialgu küsitud
alt minema	"mingis toimingus, otsuses eksima	 petta saama"
alt tõmbama	kedagi petma, tüssama
alukad	"(lühikesed) püksid, mida inimene kannab teiste riiete all	 pesuese, mida kantakse vastu ihu alakeha katteks"
amort	löökide, tõugete ja vibratsiooni mõju leevendav seadis
amps	(hammustatud) suutäis
apetiit	soov, tahtmine süüa
aplodisment	"pihkude plaksu(de)ga kokkulöömine heakskiidu- või poolehoiuavaldusena	 selle heli"
aps	eksitus, viga, eksimus
apsakas	eksitus, viga, eksimus
arapp	mingi maa-ala sissepiiramine ja läbiotsimine jälitatava(te) tabamiseks
arstitäht	"arsti (kirjalik) ettekirjutus, mille alusel patsiendile väljastatakse apteegist sobiv ravim	 see, mille alusel saab apteegist teatud ravimeid osta"
asjaline	"asjamees, (tähtis) tegelane	 see, kes asju ajab või korraldab"
asjalugu	asjade seis või käik, olukord teatud hetkel
asjamees	(tähtis) ametimees, (tähtsalt) milleski osalev inimene
atskoo	kaardimäng, kus võidab see mängija, kelle kaartide punktisumma on kõige suurem, aga ei ületa 21
augutäide	see, mis või kes mingit lünka, tühikut täidab
autolammutus	töökoda, kus lammutatakse autosid ja kaubeldakse nende töökõlblike osadega
baarman	"baaris hrl baarileti taga külastajaid teenindav kelner	 inimene, kelle töö on baaris leti taga külastajaid teenindada"
bakid	ainult kõrvade ette ribana kasvatatud habe
banaanivabariik	väike, hrl ühele (kitsale) valdkonnale keskendunud maa, mis on seetõttu majanduslikult ja poliitiliselt ebakindel
bardakk	kindla, ettenähtud korra puudumine millegi toimimises (nt asutuses, süsteemis)
beib	välimusele suurt rõhku panev, hrl efektne, silmahakkav tüdruk või noor naine
beibe	välimusele suurt rõhku panev, hrl efektne, silmahakkav tüdruk või noor naine
bemar	üks Bayerische Motoren Werke AG automarke
bemm	üks Bayerische Motoren Werke AG automarke
bläkk	piinlik tegu või olukord
bolonka	Lõuna-Itaaliast pärit väike valge karvaga koer, üks koeratõuge
boss	peremees, juht, ülemus
bronn	"hotellikoha, pileti vm tagamine, eelnevalt kinnipanek	 seda tõendav dokument"
bronnima	"(kohta, ruumi, pileteid vm) ette tellima või kinni panema, millegi saamist tagama	 midagi enda jaoks kinni panema, näiteks tuba hotellis, kohti või ruumi restoranis"
bukahoolik	inimene, kes kirglikult armastab raamatuid, on nendest sõltuvuses
burks	"kahe poolega kukkel, mille vahel on liha ja muud lisandid	 toit, kus kahe saia vahel on näiteks soe kotlet, juust, tomat, hapukurk ja salat koos kastmega"
bänner	pikk kitsas kujundatud reklaamtekst (nt veebilehel)
dalmaatslane	mänguhimuline koer, kellel on iseloomulik valge tumedate tähnidega sile karv
diil	"rahaline, äriga seotud toiming või kokkulepe	 toiming või seotud toimingute kogum, milles sisaldub vähemalt üks õiguslikku tagajärge kaasa toov tahteavaldus"
diip	tunnetuse poolest sügav ja mõttetihe
dino	suur sisalikulaadne ürgaja roomaja
disklahv	keeld mingi aja jooksul spordivõistlustel osaleda
dokk	dokumentaalfilm või -sari
drinkima	alkoholi jooma
dubljonka	pööratud lambanahkne (pool)kasukas
ebaklapp	ebakõla, sobimatus
ehitusmees	ehitaja, ehitustööline
ekreiit	Eesti Konservatiivse Rahvaerakonna (EKRE) liige
eks	endine abikaasa või elukaaslane
eksmatt	kustutamine üliõpilaste nimekirjast enne ülikooli lõpetamist
ekstreem	põnevust, pinget, erutust pakkuv olukord
elektrikontakt	paikne seadis, millesse torgatakse pistik, et elektririistu vooluvõrku ühendada
eputrilla	edvistav, eputav inimene
eraots	rahateenimiseks tehtav (eraviisiline) kõrvaltöö
ersats	mittetäisväärtuslik, järeletehtud aine, ese vm, alaväärtuslik aseaine
etem	"omaduste, kvaliteedi poolest suuremal määral hea	 omaduste, võimete, seisundi vm poolest millestki või kellestki rohkem väärt olev"
ets kae	väljendab imestust, üllatust, vahel ka pahameelt
etsa kae	väljendab imestust, üllatust, vahel ka pahameelt
eur	"Euroopa Liidu rahaühik. Ühes euros on 100 senti	 Euroopa Liidu suurem rahaühik, Euroopa ühisraha"
exclusive	eksklusiivne, teistest eristuv
fanatt	mingi tegevusala, valdkonna kirglik harrastaja või huviline
flaier	kontserdile või muule üritusele kutsuv reklaamleht
friik	"millegi liialdatud pooldaja või millestki eriti huvitatud isik, vahel kuni veidruseni	 veidrik"
funk	1920. aastail tekkinud arhitektuuri, tarbe- ja tööstuskunsti suund, mis ehitiste, esemete vms vormi kujundamisel lähtub eeskätt nende otstarbest ehk funktsioonist, mitte niivõrd esteetilisest küljest
funkama	(esemete, nähtuste kohta:) tegevuses või töökorras olema, (kindla ülesandega) töötama, (teatavas rollis) toimima
funktsima	(esemete, nähtuste kohta:) tegevuses või töökorras olema, (kindla ülesandega) töötama, (teatavas rollis) toimima
geps	seade, mis võimaldab üle maailma määrata asukohta kogu maailma hõlmava tehiskaaslaste võrgu abil
haip	ülespuhutud reklaam, ülepakutud vaimustus
haipima	innukalt midagi esile tõstma, midagi kiitma, et tähelepanu saada
hall pass	Eesti kodakondsuseta isiku pass Eestis (passi kaanevärvi järgi)
hallukas	tajuelamus või aisting ilma välismaailma reaalse stiimulita, (haiguslik) tajumishäire
hanejalad	jutumärgid
hašš	"eesti tähestiku täht	 täht eesti tähestikus	 vastav häälik"
heureka	hea mõte, avastuslik idee
hiirekäsi	haigusseisund, mis tekib suure närvi pitsumisel randmekanalis ja millele on iseloomulik käe tuimenemine, torked vms
hirmsasti	väga, äärmiselt
hitt	väga menukas laul, film, teatrietendus vms teos
homo	inimene, kes tunneb seksuaalset ja emotsionaalset tõmmet samast soost inimese vastu
hruštšovka	peamiselt 1960. aastatel levinud väikeste korteritega tüüpelamu
hullu	hullupööra, pööraselt
hundituline	"naps viina	 viin"
häbemata	väga suurel määral, hästi palju
häbematane	häbematu
hädapätakas	hädine, saamatu inimene
hääletoru	"(sõnumi edasiandmise abinõu, vahendi kohta)	 kellegi põhimõtteid ning ideid levitav väljaanne, meediakanal, isik vms"
idiootsus	ülim totrus, suur rumalus
igasugu	"igat liiki, igat laadi	 mis tahes, ükskõik milline	 paljudest eri liikidest, iga liiki või laadi	 ükskõik milline"
igatekanti	"igal moel, igas suhtes	 igas suhtes, igas mõttes	 igas suhtes, igas mõttes, igal moel"
igatemoodi	"igal moel, igas suhtes	 igas suhtes, igas mõttes	 igas suhtes, igas mõttes, igal moel"
igateviisi	"igal moel, igas suhtes	 igas suhtes, igas mõttes	 igas suhtes, igas mõttes, igal moel"
ilmatu	väga, määratult
ilmatuma	väga suur
ilmatuma	väga, määratult
ilmvõimatu	täiesti võimatu
ilueedi	edev, ennast imetlev mees, kes oma välimusele suurt rõhku paneb, hrl peenutsedes või liialdades rõivastusega
in	moes, soositud, päevakorral
individuaal	"aiaga maja, kus elab tavaliselt üks pere	 eravalduses olev, hrl ühele perele mõeldud elamu"
inf	"andmed või faktid, mis iseloomustavad mingit nähtust, protsessi, asja vm	 andmed, faktid	 selliste andmete ja teadete edasiandmine"
infra	ühiskonna või ettevõtte tööks vajalikud vahendid, tegevused ja teenused (nt internetiühendus, tänavavõrk, veevarustus)
inimesetükk	(inimese kohta, hrl mingit tema omadust esile tuues)
intensiiv	intensiivravi osakond või palat
inter	kooli ühiselamu
ism	suund, vool, koolkond vms
issameie	ristiusu üks tuntumaid palveid, millel on keskne koht kristlike kirikute liturgias
issanda	täiesti, läbini, üleni
itimees	inimene, kes kavandab, loob, testib, juurutab ja haldab tarkvaralahendusi
jaagup	jaagupipäev
jaan	jaanipäev (24. juuni), ka selle lähedased päevad
jahmerdama	ebaolulisega, kõrvalisega tegelema, segadust tekitades tegutsema
jahuma	millestki tüütuseni palju rääkima
jahupea	(kergesti unustava või taipamatu, juhmi inimese kohta)
jalakeerutus	tants
jalka	"sportlik mäng, kus üks võistkond püüab palli jalaga teise võistkonna väravasse lüüa	 sportmäng, milles kumbki meeskond püüab palli jalaga (või peaga) lüües vastaspoole väravasse saata"
japs	(jaapanlase kohta)
jeerum	(esineb tunderõhulistes hüüatustes, väljendab ehmatust, imestust, üllatust, hädaldust vm)
jeever	(esineb tunderõhulistes hüüatustes, väljendab ehmatust, imestust, üllatust, hädaldust vm)
jessake	(esineb tunderõhulistes hüüatustes, väljendab ehmatust, imestust, üllatust, hädaldust vm)
jessas	(esineb tunderõhulistes hüüatustes, väljendab ehmatust, imestust, üllatust, hädaldust vm)
jesseke	(esineb tunderõhulistes hüüatustes, väljendab ehmatust, imestust, üllatust, hädaldust vm)
jesses	(esineb tunderõhulistes hüüatustes, väljendab ehmatust, imestust, üllatust, hädaldust vm)
jessuke	(esineb tunderõhulistes hüüatustes, väljendab ehmatust, imestust, üllatust, hädaldust vm)
jestas	(esineb tunderõhulistes hüüatustes, väljendab ehmatust, imestust, üllatust, hädaldust vm)
joba	jabur jutt, loba, lora
jobama	jamajuttu rääkima
jobi	lühiajaline, juhuslikum töö(võimalus)
jobin	lobajutt
jobisema	"lobisema, lobajuttu ajama	 omaette pomisema"
jobu	tobu, lollakas
jobujutt	rumal, tühine jutt
jobusk	tobu, lollakas
johmane	"alkoholist uimane	 joobnud"
jokk	läbi, otsas, valmis
jokutama	niisama vahtima, mõttetult logelema, aega viitma
joomakõri	"inimene, kes joob liiga palju alkoholi ja on sellest sõltuvuses	 inimene, kes ülemäära tarvitab alkohoolseid jooke, on alkoholist sõltuvuses"
joomamees	joodik, napsimees
jopastama	hästi minema, juhuslikult vedama, õnnestuma
jora	tüütav, rumal jutt, sisutu loba
jospel	(kogenematu noormehe, poisinolgi, jõmpsika kohta)
jota	alkoholi armastav inimene, kõva viinavõtja, joodik
jube	väga, äärmiselt
jubin	mingi väike hrl uudne asi või detail, mingi masinavärgi osa, (naljakas) asjake või seade
jublakas	mingi väike hrl uudne asi või detail, mingi masinavärgi osa, (naljakas) asjake või seade
julgustükk	julgust nõudev tegu
jumala	täiesti, läbini, üleni
jumbu	väike (vahva, tore) poiss, poisike või poisiohtu nooruk
junts	väike (vahva, tore) poiss, poisike või poisiohtu nooruk
juntsu	väike (vahva, tore) poiss, poisike või poisiohtu nooruk
jupstükk	mingi väike hrl uudne asi või detail, mingi masinavärgi osa, (naljakas) asjake või seade
jura	rumal, mõttetu, sihita tegu, jutt vms
justament	(rõhutab, tõstab esile, kinnitab midagi:) just, nimelt, täpselt, just nii
jutilt	ühe hooga, ilma katkestamata
jutumoor	palju rääkida armastav naine, kuulujuttude levitaja
jututama	juttu ajama, vestlema
juudikirss	harilik füüsal, troopiline või lähistroopiline rohttaim, millel on laternat meenutava kattega kirsstomatit meenutavad viljad, Eestis ka ilutaim
jõle	väga, eriti, hiiglama
jõletu	väga, eriti, hiiglama
jõlkuma	kuskil ilma kindla sihita viibima või liikuma, niisama logelema
jõrm	(karmi, tahumatu vms inimese kohta)
jõujuurikas	tugev rässakas inimene (hrl mees)
jäärama	naistekütina elama, ringi tõmbama
kaak	pahandusi tegev, huligaanse käitumisega (noor) inimene
kaameramees	"filmi-, teleoperaator	 filmimaterjali ülesvõtja, filmiteose pildilahenduse looja"
kaater	joobejärgne haiglane seisund
kaema	vaatama
kagebiit	NSV Liidu Riikliku Julgeoleku Komitee (KGB) töötaja
kahemees	õpilane, kelle hinded on koolis põhiliselt kahed, kehv õpilane
kahvanägu	valge inimene (varem hrl vastandatult indiaanlasele ehk punanahale, nüüd ka muile)
kaifima	nautima
kainer	"asutus, kuhu joobnud tuuakse kainenema	 vastav hoone või ruumid"
kaisukas	pehme mänguloom (hrl antakse väikelapsele õhtul voodisse kaasa)
kaka	roe, väljaheide
kaki	roe, väljaheide
kaksama	järsku, ühe korraga (katki, küljest, lahti) rebima, äkki tõmbama
kalavinski	"kalamehesaabas	 omaaegne (kollasest või kollakaspruunist juhtnahast) säärsaabas"
kalkar	närustes riietes, hrl allakäinud, saamatu või muidu alavääristatav inimene
kama	mitmesugused esemed, kaup või kraam
kambakas	kambakesi kallaleminek
kamorka	väike, kitsas (ja pime) ruum
kamp	(väiksem, kahtlustäratav) rühm koos viibivaid või üheskoos, ühel alal tegutsevaid inimesi
kamps	"soe pikkade varrukatega riideese, mis katab keha ülemist poolt	 varrukatega, üle pea selga tõmmatav või eest lahti käiv silmkoeese"
kampsik	"soe pikkade varrukatega riideese, mis katab keha ülemist poolt	 varrukatega, üle pea selga tõmmatav või eest lahti käiv silmkoeese"
kann	üks kahest ümarast pehmest kehaosast, mis moodustavad tagumiku
kannäe	väljendab imestust, üllatust, vahel ka pahameelt
kantpea	hrl siilisoenguga või paljaks pöetud peaga turske tüüp (hrl kuritegeliku taustaga)
kantseleirott	kantseleiametnik
kanäe	väljendab imestust, üllatust, vahel ka pahameelt
kapakali	kodus valmistatud õlu
kaperdama	vaevaliselt, komistades, aeglaselt käima
kapremont	hoonete, masinate või seadmete põhjalik parandamine, uuendamine või (täielik) ümberehitamine
kapsastuma	kasutamisest katkiseks, räbaldunuks, narmendavaks muutuma
kaputt	"katki, mokas	 omadega läbi"
karauulima	"luurama, passima	 valvama, vahti pidama"
karauulitama	"luurama, passima	 valvama, vahti pidama"
karbuss	sisepõlemismootori osa, kus moodustub küttesegu vedelkütusest ja õhust
karjanaine	naine, kelle töö on laudas veiste eest hoolitseda
karman	"riideeseme osa, mille sisse saab asju panna	 rõiva või muu eseme peale või sisse õmmeldud detail, kuhu saab panna asju"
karts	ruum, hrl üksikkong distsiplinaarkaristuse kandmiseks (eriti omal ajal sõjaväes, vanglates, ülikoolides)
karuott	"põhjapoolkera suurtes metsades elav kogukas pruuni karvkattega kiskja	 suur metsloom, kellel on paks pruun karv"
karuperse	kauge, unustatud, ligipääsmatu vms paik, kolgas
karvamari	(nais)juuksur, juukselõikaja
kasima	(hrl järsult käskides:) (ära) minema, lahkuma
kassatükk	menukas, rohket tulu andev film või lavateos
kassilaud	(suurest, peamisest peolauast eraldi asetseva väiksema peolaua kohta)
kastikas	"kastiga sõiduauto-väikeveok	 kastiga veoauto"
katjuuša	1941. aastal kasutusele võetud Nõukogude mitmelasuline raketiheitja BM-14 Katjuša
kekkama	millestki uhkeldades rääkima, ennast sel viisil tähtsaks tegema või tähelepanu püüdma
kekutama	tähelepanu ja imetlust äratada püüdma (eriti välimuse või käitumisega)
kellad ja viled	virtuaalsed ja mittevirtuaalsed lisavidinad ja heliefektid, mida pole asja toimimiseks otseselt vaja, aga mis lisavad atraktiivsust
kellama	"kuulujutte levitama	 millestki kõigile kuulutama"
kellavärk	kellamehhanism (hrl millegi toimimise või toimumise suurele täpsusele osutavalt)
kemps	ehitis või ruum urineerimiseks ja roojamiseks
keppima	seksima, suguakti sooritama (sihilisena hrl mehe vastava tegevuse kohta)
kesse	kes (see)
kiibitsema	teiste tegevust kõrvalt huvitatult pealt vaatama ja tarkust jagama või järele tegema kippuma
kiin	suur kärbselaadne kahetiivaline putukas, kelle vaglad elavad parasiitidena teistes loomades
kiki	kiilukujuliselt risti seatud või lehviks seotud kaelaside
kilekas	kilejopp või kileülikond
kilt	"pikkuse mõõtühik. Ühes kilomeetris on 1000 meetrit	 tee pikkuse ühik, 1000 meetrit"
kimama	"suure hooga, väga kiiresti liikuma, nt sõitma või jooksma	 väga kiiresti sõitma või jooksma"
kirvereegel	lihtsustatud üldjooneline seaduspära, põhimõte või juhis
kisma	(käsitsi) kaklemine või kellegagi tülitsemine
kituma	kellegi peale kaebama
kiusupunn	kiusaja, kiuslik inimene (või loom)
klade	paks vihik
klanima	nuruma, lunima, mangudes paluma
klantsima	"hoolitsusest, puhtusest särama	 läikima panema, kauniks tegema"
klapitama	millegagi vastavusse, kooskõlla viima, mingeid asjaolusid arvestades sobima panema
klapp	(kokku)sobimine, kooskõla
klattima	selgitama, korda ajama, (ära) klaarima
kliistripühad	endisaegne ruumide puhastamiseks ja akende kleepimiseks ettenähtud õppetöövaheaeg oktoobri lõpul
klikiaeg	(Eesti aja kohta, Nõukogude ideoloogia kohaselt halvustavana)
klobima	peksma, taguma
klopper	kloppimisvahend
klunker	oleng, pidu
klunn	väike (vahva, tore) poiss, poisike või poisiohtu nooruk
klutt	väike (vahva, tore) poiss, poisike või poisiohtu nooruk
klõpats	väike klõpsuv, kerge plaksuga kokku käiv ese
knihv	kaval võte, nõks, trikk
kobakäpp	"inimene, kes on kohmakas ja saamatu või kehvade oskustega	 saamatu inimene"
kobarkäkk	täiesti ebaõnnestunud asi või ettevõtmine, mille luhtumise on põhjustanud mitmed tehtud vead
kodukas	"firma, asutuse või eraisiku põhiliste andmetega lehekülg internetis	 firma, asutuse või eraisiku veebileht, kus asuvad põhiandmed ja -lingid"
koeraamet	(mittetänuväärse ameti kohta)
koeraelu	vilets, raske elu
koerapõli	vilets, raske elu
koguaeg	"alati, igal ajal	 alati, pidevalt	 väga tihti, pidevalt"
kohmard	kohmakas, saamatu inimene
kohmerdama	aeglaselt, kohmitsedes või koperdades midagi toimetama
kohmerdis	kohmitseja
koiku	lihtne (sageli kehvavõitu) voodi või muu magamisase
kokkama	toitu valmistama, süüa tegema
koks	"külm jook, mis segatakse kokku mitmest eri joogist, sageli alkoholiga	 mitme joogi segamisel saadud külm alkohoolne või alkoholita jook"
kole	väga, äärmiselt
kolge	väga pikk, vibalik, nurgeline inimene (sagedamini mehe kohta)
kollanokk	kogemusteta noor inimene (hrl nooruk) või algaja mingil alal (ka halvustavalt)
kolmemees	õpilane, kelle hinded koolis on põhiliselt kolmed, keskpärane õpilane
kolu	(inimese pea kohta)
kombekas	ühes tükis töö-, spordi- või lasterõivas
kombi	pika kerega ruumikas, hrl kolme istmereaga sõiduauto, kus istmete kõrvaldamisega on võimalik moodustada mahukas pakiruum
kombiauto	pika kerega ruumikas, hrl kolme istmereaga sõiduauto, kus istmete kõrvaldamisega on võimalik moodustada mahukas pakiruum
kombo	teataval viisil koos esinevate sümbolite, nähtuste, esemete vm elementide korrastatud rühm
komet	jant, tembutamine
komm	"arvamusavaldus mingi sündmuse, kellegi sõnavõtu vms kohta	 selgitav, täiendav või arvustav märkus mingi teksti kohta	 selgitus või hinnangut andev märkus"
kommar	"kommunismi pooldaja	 kommunistliku partei liige"
kommima	"millegi kohta selgitusi esitama või arvamust avaldama	 mingi sündmuse, teksti vm kohta selgitavaid, täiendavaid või arvustavaid märkusi tegema, oma arvamust avaldama"
kommionu	(seksuaalselt) ohtlik lastemeelitaja
kommu	"kommunismi pooldaja	 kommunistliku partei liige"
kommunaalid	rahasumma, mis makstakse eluaseme vm hoone kütte, vee, prügiveo, elektri vm kommunaalteenuste eest
komnoor	(Nõukogude ajal:) kommunistliku noorsooühingu liige, kommunistlik noor
kompra	kompromiteerivad materjalid, mida kellegi kohta kogutakse
kompunnima	kombineerima
kondiaur	(naljatamisi lihasejõu, füüsilise pingutuse kohta)
konku	väike, kitsas (ja pime) ruum
kontorirott	kantseleiametnik
kontra	vastandatuna
kontraht	"dokument, mis määrab isikute, asutuste vm vahelise kokkuleppe osaliste kohustused ja õigused	 dokument, mis määrab õigused ja kohustused osaliste vahel, kes sõlmivad mingi kokkuleppe"
koobard	viletsas seisus, vaevaliselt liikuv inimene
koolema	"elus olemast lakkama	 kui keegi sureb, siis ta elu lõpeb"
kooliplika	kooliealine, koolis käiv tütarlaps
koolitükk	"koolist koduülesandeks antu	 see, mis koolis koduseks ülesandeks antakse"
koolma	"elus olemast lakkama	 kui keegi sureb, siis ta elu lõpeb"
koolmeisterdama	õpetajaametit pidama
koonukas	Eestis aastatel 1991–2002 tegutsenud Eesti Koonderakonna liige
koosa	(naha peale andmise, peksasaamise vms kohta)
kopeer	ühelt küljelt tumeda pigmendiseguga kaetud õhuke paber ärakirja tegemiseks
koperdis	aeglane või saamatu inimene
koputaja	inimene, kes teis(t)e peale kaebab või teise(d) üles annab
korp	kinnine üliõpilasorganisatsioon, mille liige hrl kannab eraldusvärvidega mütsi ja rinnapaela
korralt	otsekohe, jalamaid, korrapealt
koslep	(peksaandmise või -saamise, karistamise kohta)
koss	"sportlik mäng, kus üks võistkond püüab palli teise võistkonna korvi visata	 sportmäng, milles kumbki meeskond püüab palli vastaspoole korvi visata"
kosu	miski vilets, vana, lagunenud
kraade	ülbe käitumisega (linna)nooruk
kreissaag	kettakujulise lõiketeraga saag
kriipsupealt	väga täpselt, täpipealt
kriksadull	keerdudega, raskesti väljaloetav tähekuju
kriksatrull	keerdudega, raskesti väljaloetav tähekuju
krill	vihavimm, jonn, jonniajamine
krillima	kiusu, jonni ajama, pahuksis olema
kriminaal	(kriminaal)kurjategija, ka muu kohtulikult karistatu
kriminull	kriminaaljutt, -romaan või -film
kroks	"sarv- ja luukilbistega kaetud kehaga suur sisalikukujuline troopika ja lähistroopika mageveekogude ja soode roomaja	 soojade maade loom, kellel on teravate hammastega suur suu ja pikk saba"
kroku	"sarv- ja luukilbistega kaetud kehaga suur sisalikukujuline troopika ja lähistroopika mageveekogude ja soode roomaja	 soojade maade loom, kellel on teravate hammastega suur suu ja pikk saba"
kronks	(kõhna, kuivetu vanainimese, hrl naisterahva kohta)
krous	peen mahapressimata volt (hrl rõiva avardamiseks või kaunistamiseks)
krousima	"kangasse, riideesemesse (peeni) mahapressimata volte, krookeid tegema	 kangast sel viisil kokku tõmbama"
krusa	"kaupa, ehitusmaterjali vm mahukaid asju vedav suur auto	 suur auto, millega saab raskeid asju vedada"
kruss	kähar, lokkis juuksesalk vms
krutstükk	vallatu, kelmikas või (veidi) üleannetu tegu
kruttima	"nuppu, kruvi vms keerama	 seda keerates midagi reguleerima, paika seadma"
kruusakas	kruusateel sõitmiseks mõeldud rehv
krõbi	vana (jõuetu) inimene
krööm	väike hulk, vähene määr
kröömike	väike hulk, vähene määr
kröömikene	väike hulk, vähene määr
kröönima	raha kokku hoidma, rahaga koonerdama
kuda	"esineb millegi toimumise viisi, olukorra vms täpsustamisel otseses või kaudselt väljendatud küsimuses ning täpsustava lauseosa alguses	 mis moel, mis viisil"
kuidamoodi	"(viisile, olukorrale vms osutavalt:) kuidas	 kuidas"
kuidaviisi	"(viisile, olukorrale vms osutavalt:) kuidas	 kuidas"
kuivamaarott	(maismaal töötava inimese, kuivamaamehe kohta)
kulka	kultuurkapital
kulku	(väike) viinapudel
kullaauk	(rohket tulu või suurt edu pakkuva ettevõtmise, hea tuluallika kohta)
kunde	"klient	 sagedane või järjekindel ostja või tellija teatud ärist või teatud isikult"
kuraasitama	kuraasikalt, uhkeldavalt hooplema
kuraditosin	kolmteist
kuram	leebe kirumissõna, mida kasutatakse millegi või kellegi üle pahandades, midagi taunides, harvemini imestuse või üllatuse korral
